mm_4_75;mm_2;mm_1;fundo;peso_massa;data;produto;lote;ton;turno;box_consumo;aditivo;mm_4_75_perc;mm_2_perc;mm_1_perc;fundo_perc;linha
2.81;291.49;12.79;1.27;307.25;2024-12-20;UREIA;159;50;A;AZ-05;NÃO;0.91;94.53;4.15;0.41;BAG MOVEL
2.39;279.60;15.00;1.25;297.87;2024-12-20;UREIA;160;49;A;AZ-05;NÃO;0.80;93.75;5.03;0.42;BAG MOVEL
16.60;272.90;4.46;1.29;295.32;2024-12-20;UREIA;161;49;A;AZ-05;NÃO;5.62;92.43;1.51;0.44;BAG MOVEL
3.25;282.36;10.65;1.14;298.01;2024-12-20;UREIA;162;49;A;AZ-05;NÃO;1.09;94.94;3.58;0.38;BAG MOVEL
12.03;304.54;6.52;2.65;334.57;2024-12-20;UREIA;163;49;B;AZ-05;NÃO;39.69;93.49;2.00;0.81;BAG MOVEL
11.36;303.52;13.58;2.32;335.23;2024-12-20;UREIA;164;48;B;AZ-05;NÃO;3.43;91.76;4.11;0.70;BAG MOVEL
12.10;305.67;16.55;1.32;334.44;2024-12-20;UREIA;165;49;B;AZ-05;NÃO;3.61;91.07;4.93;0.39;BAG MOVEL
11.09;306.65;15.52;1.42;335.14;2024-12-20;UREIA;166;48;B;AZ-05;NÃO;3.31;91.62;4.64;0.42;BAG MOVEL
12.08;306.66;15.56;1.01;335.16;2024-12-20;UREIA;167;49;B;AZ-05;NÃO;3.60;91.46;4.64;0.30;BAG MOVEL
1.79;293.06;2.93;1.08;299.41;2024-12-20;UREIA;466;45;A;BOX-02;NÃO;0.60;98.06;0.98;0.36;MAQUINARIO
3.51;299.03;8.25;1.03;306.29;2024-12-20;UREIA;467;45;A;BOX-02;NÃO;1.15;95.82;2.70;0.34;MAQUINARIO
21.24;271.78;7.72;1.48;302.44;2024-12-20;KCL;427;30;A;BOX-08;NÃO;7.03;89.93;2.55;0.44;MAQUINARIO
13.08;284.54;7.05;1.18;306.43;2024-12-20;UREIA;469;45;A;BOX-02;NÃO;4.28;93.03;2.31;0.39;MAQUINARIO
42.57;256.76;2.47;2.34;304.89;2024-12-20;KCL;428;30;A;BOX-08;NÃO;14.00;84.42;0.81;0.77;MAQUINARIO
